"","namestmin","r2","es"
"5830","w_24_236.5",0.0698146759786126,0.429068037868845
"5787","w_24_197.5",0.0698029770303548,0.382809454695434
"3448","w_16_203.5",0.0698020406697903,0.35665616547937
"6400","w_26_230.5",0.0697839123145202,0.432836247967012
"4627","w_20_200.5",0.0697831003841871,0.350201902051309
"6672","w_27_218",0.0697642811163846,0.437858235821301
"7210","w_29_189",0.0697617173942067,0.33505458979307
"6120","w_25_238",0.0697522564962264,0.448077929069848
"1074","w_8_238.5",0.0697369457560596,0.275467165932111
"4945","w_21_224",0.0697078672287955,0.423420826200256
"6088","w_25_209",0.0697055454828959,0.422625199445284
"173","w_5_256",0.0696941554126619,0.266005058416844
"11894","w_46_185.5",0.0696935690754364,0.459081576904665
"4356","w_19_221",0.0696793129365906,0.371176537352027
"2300","w_12_249.5",0.0696602933349909,0.343182551406818
"5493","w_23_193",0.0696262178234922,0.339619806588373
"15550","w_60_194.5",0.0696243032759453,0.512325655463656
"5484","w_23_185",0.0695395844104023,0.301215200750017
"5247","w_22_233.5",0.069520495297492,0.392758626485979
"8091","w_32_219.5",0.0694955522072003,0.48387260977801
"6666","w_27_212",0.0694736336909211,0.432793335542593
"6921","w_28_184.5",0.069464690837849,0.327622852090602
"6650","w_27_198",0.0694562936821217,0.407917927497074
"2527","w_13_181",0.0694555408878744,0.26324852092024
"3769","w_17_225",0.0694529056374331,0.386131711110405
"3797","w_17_250",0.0694355658834973,0.391587385482699
"6687","w_27_231",0.0693812490286412,0.443040066579051
"1883","w_11_144",0.0693768530630647,0.198816861614109
"6639","w_27_188",0.0693647535815028,0.316846640979398
"1097","w_8_259.5",0.0693494017472037,0.26568555303079
"175","w_5_258",0.0693089798572533,0.251007517899877
"3777","w_17_232",0.0692687418412417,0.335309122581354
"7226","w_29_203",0.069261219451863,0.41562004405662
"4635","w_20_208.5",0.0692574209341704,0.384487464833377
"6408","w_26_238.5",0.0692463006757893,0.451111047012736
"12429","w_48_187.5",0.0692291102956147,0.487388379845901
"6935","w_28_197.5",0.0691906699546576,0.409446482702212
"5226","w_22_214.5",0.0691668787871702,0.404125971550887
"8650","w_34_218.5",0.069140665349137,0.495198677795552
"4034","w_18_197.5",0.0691290463779036,0.316759760088918
"1039","w_8_206.5",0.0691075138231891,0.288883929942208
"7511","w_30_204.5",0.0691035104253729,0.418899703231021
"483","w_6_258.5",0.0690905905055168,0.255296441017607
"9757","w_38_217.5",0.0690791952405387,0.500756985969546
"8336","w_33_187",0.069065664256538,0.347198832726301
"5246","w_22_232.5",0.0690535374421245,0.385356686484493
"8069","w_32_199.5",0.0689990098216045,0.428919382191349
"3765","w_17_221",0.0689858690232362,0.346263810999734
"2873","w_14_223.5",0.068939116622653,0.346258431125989
"2001","w_11_251",0.0689373346662746,0.332456805368723
"6976","w_28_234.5",0.0689365536786605,0.450523562014153
"4921","w_21_202",0.0689275396917872,0.36612842448974
"436","w_6_215.5",0.0689210512023245,0.241446616651555
"6349","w_26_184.5",0.0689165526423695,0.311969642139367
"5814","w_24_221.5",0.068911425751999,0.434909315896882
"7774","w_31_187",0.0689112591200515,0.331790691349451
"109","w_5_198",0.0688943415494061,0.216500831078973
"7789","w_31_200",0.0688771514035924,0.424653146734948
"15547","w_60_191.5",0.0688726406435431,0.500947533257197
"5498","w_23_198",0.0688629129784002,0.374061982217728
"7238","w_29_214",0.0688390815742245,0.419061656373568
"13485","w_52_189.5",0.0688201431835078,0.492600388250534
"5532","w_23_229",0.068811064895549,0.407646591707097
"6118","w_25_236",0.0688049140237654,0.427984473838386
"6376","w_26_209.5",0.0687726038345091,0.423891325248457
"3491","w_16_242.5",0.0687108625797163,0.398070394448349
"15292","w_59_190",0.0687040217428339,0.497597420206244
"732","w_7_205",0.0686961641926362,0.271521922105781
"5805","w_24_213.5",0.0686802281189194,0.419833436322467
"4311","w_19_180",0.0686703024058377,0.286288892428169
"5537","w_23_233",0.068654560803163,0.396998262635017
"1312","w_9_177",0.0686457688790365,0.206712799375984
"8656","w_34_223.5",0.0686177296113335,0.484594925333244
"6950","w_28_210.5",0.0686165479230435,0.443396022387179
"9758","w_38_218.5",0.0685826001357135,0.49650261207773
"11628","w_45_187",0.0685612530450973,0.464354330095986
"7825","w_31_233",0.0685508175619854,0.485635786783549
"6954","w_28_214.5",0.0685217755171442,0.415363413162685
"7815","w_31_224",0.0685038263293294,0.473443842877129
"7773","w_31_186",0.0684823617652143,0.329223590380518
"11893","w_46_184.5",0.0684478806943654,0.44413111747014
"6107","w_25_226",0.0684357811807945,0.429702203281034
"5208","w_22_198.5",0.0684312324008328,0.364448784944495
"12431","w_48_189.5",0.0684235673072676,0.481905464926573
"3722","w_17_182",0.0684089814055719,0.274371904089739
"8373","w_33_220",0.0684009458417542,0.48024263883903
"3170","w_15_221",0.0683647470007908,0.336152588695311
"4966","w_21_243",0.0683427048819073,0.423563543740752
"4072","w_18_231.5",0.0683405944052384,0.344803678654375
"176","w_5_259",0.0683305500024666,0.234911995308645
"10815","w_42_184.5",0.0683115568764369,0.414650742080776
"793","w_7_260",0.0683061944652812,0.248137696329651
"5213","w_22_202.5",0.0682835038441727,0.367960183985413
"11625","w_45_184",0.0682609702953708,0.431938633734883
"6123","w_25_240",0.0682259351978461,0.453112166334793
"7826","w_31_234",0.0682230718211998,0.48186548106814
"12165","w_47_189",0.0682079291126436,0.477224757513697
"6370","w_26_203.5",0.0682072438851268,0.385682913765049
"3199","w_15_248",0.0682072433468707,0.365961975891673
"12162","w_47_186",0.0681819522175457,0.462299018144509
"5535","w_23_231",0.0681711056145023,0.390582158741891
"9483","w_37_219",0.0681465023260189,0.493538560646064
"6688","w_27_232",0.0681180238531374,0.437491524073716
"8929","w_35_219",0.0681176643628914,0.491587949024833
"7250","w_29_225",0.0681121153207942,0.441488154570494
"6664","w_27_210",0.0681085043521168,0.430644608677003
"5233","w_22_220.5",0.0680868896775845,0.410235284653361
"756","w_7_227",0.0680837423879849,0.235730748519554
"5236","w_22_223.5",0.0680732044032301,0.41340805621018
"4631","w_20_204.5",0.0680228434061342,0.377365741607735
"12693","w_49_186",0.0680005713763564,0.473051847462996
"3754","w_17_211",0.0679365021074433,0.355040491006552
"6409","w_26_239.5",0.0679140067546189,0.452580605763982
"2221","w_12_177.5",0.0679123373238809,0.237237308517144
"6974","w_28_232.5",0.0678750188530902,0.448374042824843
"2552","w_13_204",0.0678502428611841,0.337317184661781
"2872","w_14_222.5",0.0678398144073517,0.33057920302289
"1695","w_10_249.5",0.0677997825638307,0.313522599174926
"14780","w_57_189",0.0677880355684949,0.48871127696929
"15293","w_59_191",0.0677703645572064,0.492087222765623
"138","w_5_224",0.0677685183746459,0.234374793951498
"2523","w_13_178",0.0677652483302758,0.247611395230094
"2898","w_14_246.5",0.0677431680331076,0.363160789026103
"2528","w_13_182",0.0677329140160514,0.261631129273431
"5534","w_23_230",0.0677268636008855,0.390099701607551
"6405","w_26_235.5",0.0677181726362042,0.431513211612362
"4322","w_19_190",0.067699940331703,0.300838410630342
"460","w_6_237.5",0.0676436652746731,0.248735012543493
"14265","w_55_189",0.0675990520606282,0.486436082046039
"1062","w_8_227.5",0.0675396130954917,0.253093409603973
"2081","w_11_49",0.0675330607211273,0.284178788500659
"4616","w_20_190.5",0.0675260647052019,0.303460955210493
"4367","w_19_231",0.0675254739995489,0.35151249147624
"12161","w_47_185",0.0675190260553596,0.449524364893346
"15291","w_59_189",0.0675029343007563,0.489450980543577
"3159","w_15_211",0.0674997732940671,0.330591156880875
"6394","w_26_225.5",0.0673930002747352,0.423962745487627
"2793","w_14_150.5",0.0673798585428834,0.202329546265396
"9205","w_36_217.5",0.0673793486457674,0.48625416084812
"5799","w_24_208.5",0.067373243506174,0.404558414035025
"12164","w_47_188",0.0673386538646792,0.476038291710442
"2594","w_13_242",0.0673352427706402,0.359362610998231
"12697","w_49_190",0.0672919111785192,0.478271506695253
"7786","w_31_198",0.067253383043583,0.41247663314786
"7503","w_30_197.5",0.0672124902270305,0.407679143168591
"445","w_6_223.5",0.0671695966368123,0.243013738811016
"1368","w_9_228",0.0671671098280254,0.257960827902272
"4330","w_19_198",0.0671560077885924,0.319743461314099
"733","w_7_206",0.0671501992860762,0.263480079515128
"6364","w_26_198.5",0.0671357548373176,0.396353021453258
"1884","w_11_145",0.0670599345948159,0.190008083284859
"13224","w_51_190",0.0670509890077303,0.481985598545473
"1014","w_8_183.5",0.0670341372859362,0.261792288573279
"2291","w_12_240.5",0.0670157511382239,0.339454268394746
"5234","w_22_221.5",0.0669815623814244,0.39666390076774
"3753","w_17_210",0.0669771786697163,0.352660051408222
"2551","w_13_203",0.0669592390016227,0.314320371629875
"8356","w_33_205",0.0669016281873722,0.423163761747608
"5253","w_22_239.5",0.0668958403621207,0.447182927850871
"1665","w_10_221.5",0.0668818969793818,0.306335619527082
"1638","w_10_197.5",0.066874125940577,0.238504857137846
"2361","w_12_304.5",0.0668738561501309,0.3941414432237
"5483","w_23_184",0.0668703668328463,0.292865098888537
"8928","w_35_218",0.0668697773957896,0.482590467070731
"12694","w_49_187",0.0668534715225505,0.471632830563775
"6942","w_28_203.5",0.0668233143247629,0.394413778059869
"6385","w_26_217.5",0.0668151144094744,0.402569143222206
"1926","w_11_183",0.0667569037515492,0.266269385941297
"91","w_5_181",0.0666774843446432,0.211479017729496
"3789","w_17_243",0.0666607865312483,0.391320114184417
"2597","w_13_245",0.066659907163552,0.358081723467066
"1088","w_8_250.5",0.0666255601506415,0.292074032222575
"2190","w_12_149.5",0.0666250646475205,0.190365729033553
"5504","w_23_203",0.0666131027386468,0.368559331272436
"1992","w_11_243",0.0665988340045744,0.343409151022433
"13746","w_53_189",0.0665540667629192,0.476891337292667
"1314","w_9_179",0.0665535625617407,0.211693844368353
"12959","w_50_188.5",0.0665323381756271,0.476342461073525
"6975","w_28_233.5",0.0665157904663325,0.440917478641342
"6061","w_25_184",0.0664907059634448,0.297859253018077
"6691","w_27_235",0.0664879470351102,0.429348499002734
"10544","w_41_185",0.0664727069551737,0.403928090602994
"8068","w_32_198.5",0.0664692885587398,0.417098938206929
"4025","w_18_189.5",0.0664059351200011,0.295653615492238
"5800","w_24_209.5",0.0663713687701667,0.402613892187082
"9482","w_37_218",0.0663622429200686,0.48167155070229
"15531","w_60_175.5",0.066343048077534,0.38074646431157
"7507","w_30_200.5",0.0663409781030003,0.409862151498492
"5485","w_23_186",0.066323147438067,0.291338041134051
"6065","w_25_188",0.0663174559019081,0.2993980980645
"3739","w_17_198",0.0663119434058305,0.294265569990473
"6925","w_28_188.5",0.0663108736664729,0.312217037540194
"6077","w_25_199",0.0663026751198958,0.389438174087477
"12695","w_49_188",0.0662915595925982,0.471679956631922
"2828","w_14_182.5",0.0662861028666465,0.257000718430002
"5776","w_24_187.5",0.0662849023663119,0.296278031956627
"3467","w_16_220.5",0.0662390672409809,0.328525835285418
"952","w_8_127.5",0.0662131811104739,0.19137628354392
"1697","w_10_250.5",0.0661986918601215,0.306560409727441
"11086","w_43_184",0.0661977808661295,0.404609469395117
"5813","w_24_220.5",0.0661857729784805,0.420760266529702
"3167","w_15_219",0.0661723768450915,0.32884725428854
"1882","w_11_143",0.0661560802095572,0.198702979939562
"15544","w_60_188.5",0.0661395331246016,0.479514856871447
"3158","w_15_210",0.0661201581231921,0.332852836132042
"4333","w_19_200",0.0660951656237992,0.317521094434884
"8636","w_34_205.5",0.0660875000797753,0.422184342158659
"4632","w_20_205.5",0.0660785946271738,0.3611056224334
"1618","w_10_179.5",0.0660776871213375,0.223341088198484
"5198","w_22_189.5",0.0660759739683251,0.300584859209616
"5","w_5_103",0.0660508065497878,0.157901096716784
"6380","w_26_212.5",0.0660425677934393,0.409320201615827
"12427","w_48_185.5",0.0660213917550105,0.45195403983293
"178","w_5_260",0.0660105686008146,0.221972375032228
